Project,Group,File (.java),Method/Field,Line,Warning,Source,Reason
log4j-core,Baseline,ContextDataFactory,createDefaultConstructor,78,False positive,IDE,Null return from unannotated method
log4j-core,Baseline,ContextDataFactory,createInitialCapacityConstructor,84,False positive,IDE,Null return from unannotated method
log4j-core,Baseline,ContextDataFactory,createInitialCapacityConstructor,89,False positive,IDE,Null return from unannotated method
log4j-core,Baseline,JdkMapAdapterStringMap,clear,161,False positive,IDE,Lazy-init non-null field
log4j-core,Baseline,JdkMapAdapterStringMap,putAll,178,False positive,IDE,Lazy-init non-null field
log4j-core,Baseline,JdkMapAdapterStringMap,putValue,188,False positive,IDE,Lazy-init non-null field
log4j-core,Baseline,JdkMapAdapterStringMap,remove,198,False positive,IDE,Lazy-init non-null field
log4j-core,Baseline,Log4jContextFactory,addShutdownCallback,430,False positive,IDE,Null return from unannotated method
log4j-core,Baseline,Log4jLogEvent,getSource,491,False positive,IDE,Null assignment to unannotated variable
log4j-core,Baseline,Logger,getParent,96,False positive,IDE,Null return from unannotated method
log4j-core,Baseline,Logger,isEnabled,162,False positive,IDE,Unannotated override of annotated code
log4j-core,Baseline,Logger,isEnabled,167,False positive,IDE,Unannotated override of annotated code
log4j-core,Baseline,Logger,isEnabled,172,False positive,IDE,Unannotated override of annotated code
log4j-core,Baseline,Logger,isEnabled,177,False positive,IDE,Unannotated override of annotated code
log4j-core,Baseline,Logger,isEnabled,182,False positive,IDE,Unannotated override of annotated code
log4j-core,Baseline,Logger,isEnabled,187,False positive,IDE,Unannotated override of annotated code
log4j-core,Baseline,Logger,isEnabled,193,False positive,IDE,Unannotated override of annotated code
log4j-core,Baseline,Logger,isEnabled,204,False positive,IDE,Unannotated override of annotated code
log4j-core,Baseline,Logger,isEnabled,216,False positive,IDE,Unannotated override of annotated code
